recipeName,ingredients,numberOfIngredients,prepTime,cookTime,totalTime,servings,cuisine,course,diet
Mooli And Wadi Ki Sabzi Recipe,"Mooli Mullangi, Badi, Onion, Mustard Seeds, Mustard Oil, Cumin Seeds, Turmeric Powder, Red Chilli Powder, Salt, Coriander",10,15,15,30,4,Punjabi,Lunch,Vegetarian
Moong Dal Dosa Recipe,"Green Moong Dal, Rice, Salt, Water, Ghee, Ginger, Sunflower Oil, Salt",8,360,40,400,12,South Indian Recipes,South Indian Breakfast,Diabetic Friendly
Bengali Style Chicken Rezala Recipe - Chicken Korma Recipe,"Onion, Cashew Nuts, Sesame Seeds, Bay Leaf, Cloves, Cardamom, Cinnamon Stick, Dry Red Chilli, Garam Masala Powder, Black Pepper Powder, Salt, Mustard Oil, Chicken, Curd, Sugar, Saffron Strands",16,10,35,45,4,Bengali Recipes,Lunch,Non Vegeterian
Afghani Dhoog Recipe - Cucumber Mint Buttermilk/ Chaas,"Curd, Mint Leaves, Cucumber, Cumin Powder, Salt, Ice Cubes",6,10,0,10,2,Afghan,Snack,Vegetarian
Bhoplya Cha Bharit Recipe – Maharashtrian Pumpkin Sabzi,"Kaddu, Cumin Seeds, Mustard Seeds, Curry Leaves, Asafoetida, Turmeric Powder, Red Chilli Powder, Garam Masala Powder, Salt, Sunflower Oil",10,15,30,45,4,Maharashtrian Recipes,Main Course,Vegetarian
Mixed Vegetable Pulao Recipe,"Brown Rice, Ghee, Garlic, Green Chilli, Cloves, Cardamom, Cinnamon Stick, Bay Leaf, Salt, Mint Leaves, Green Beans, Cauliflower, Carrots",13,20,40,60,4,Indian,Dinner,Vegetarian
Bow Tie Pasta With Baby Spinach Recipe,"Del Monte Farfalle Pasta, Baby Spinach, Homemade Tomato Puree, Onion, Garlic, Italian Seasoning, Black Pepper Powder, Basil Leaves, Parsley Leaves, Butter, Extra Virgin Olive Oil, Chenna, Mustard Flowers",13,10,40,50,4,Italian Recipes,Lunch,Vegetarian
Bread Toast Recipe,"Whole Wheat Brown Bread, Butter",2,5,15,20,4,Continental,World Breakfast,Vegetarian
Cheesy Stuffed Schezwan Pav Recipe,"Cabbage, Green Bell Pepper, Carrot, Sweet Corn, Onion, Garlic, Green Chilli, Stalks Spring Onion, Schezwan Sauce, Veeba Sweet Chilli Sauce, Mozzarella Cheese, Butter, Pav Buns, Sunflower Oil, Salt",15,15,20,35,6,Indo Chinese,Snack,Vegetarian
Mushroom Baby Corn Kaalimirri Recipe - Pepper Cashew Gravy,"Cloves, Cinnamon Stick, Cumin Seeds, Cardamom, Whole Black Peppercorns, Whole Cashews, Poppy Seeds, Sunflower Oil, Button Mushrooms, Salt, Ghee, Onion, Ginger, Garlic, Whole Cashews, Poppy Seeds, Fresh Cream, Milk, Salt, Whole Black Pepper Corns",20,20,40,60,4,Indian,Main Course,Vegetarian
Fluffy & Crispy Cheese Herbed Biscuits Recipe,"All Purpose Flour, Corn Flour, Baking Powder, Sea Salt, Sugar, Parsley Leaves, Dried Basil Leaves, Cheddar Cheese, Mozzarella Cheese, Butter, Milk, Extra Virgin Olive Oil",12,30,30,60,4,Continental,Snack,Vegetarian
Bhopli Mirchi Chi Peeth Perun Bhaji Recipe,"Green Bell Pepper, Gram Flour, Onion, Green Chilli, Turmeric Powder, Red Chilli Powder, Salt, Amchur, Coriander Powder, Cumin Powder, Garam Masala Powder, Mustard Seeds, Cumin Seeds, Curry Leaves, Asafoetida, Dry Red Chilli, Sunflower Oil",17,10,20,30,4,Maharashtrian Recipes,Side Dish,High Protein Vegetarian
No Onion No Garlic Cabbage Kofta Curry Recipe,"Cabbage, Gram Flour, Green Chilli, Coriander, Cumin Powder, Red Chilli Powder, Garam Masala Powder, Turmeric Powder, Salt, Sunflower Oil, Tomato, Ginger, Gram Flour, Fresh Cream, Curd, Coriander Powder, Red Chilli Powder, Turmeric Powder, Cumin Powder, Garam Masala Powder, Bay Leaf, Cardamom, Salt, Sunflower Oil, Coriander",25,20,45,65,4,Indian,Dinner,Vegetarian
Karuveppilai Kuzhambu Recipe (Tangy & Spicy Curry Leaves Curry),"Curry Leaves, Methi Seeds, White Urad Dal, Coriander, Dry Red Chilli, Fresh Coconut, Tamarind Water, Pearl Onion, Turmeric Powder, Jaggery, Salt, Sesame, Curry Leaves, Mustard Seeds, White Urad Dal",15,10,40,50,4,South Indian Recipes,Lunch,Vegetarian
No Bake Marie Biscuit Energy Bites Recipe,"Marie Biscuit, Peanut Butter, Honey, Coconut Oil, Vanilla Extract, Sesame Seeds",6,90,10,100,12,Continental,Snack,Vegetarian
Goan Style Mushroom Vindaloo Recipe,"Button Mushrooms, Onion, Garlic, Ginger, Turmeric Powder, Sunflower Oil, Salt, Dry Red Chilli, Coriander, Cumin Seeds, Whole Black Peppercorns, Cardamom, Cloves",13,20,30,50,4,Goan Recipes,Dinner,Vegetarian
Eggless Coffee Caramel Cake With Walnuts Recipe,"Cups Vivatta Maida, Cup Sugar, Curd, Baking Soda, Baking Powder, Cup Sunflower Oil, Instant Coffee Powder, Caramel Sauce, Cup Walnuts",9,10,30,40,8,Continental,Snack,Vegetarian
Saunf Wale Aloo Baingan Recipe - Fennel Spiced Potato And Eggplant,"Brinjal, Potato, Onion, Cumin Seeds, Ginger Garlic Paste, Red Chilli Powder, Turmeric Powder, Sunflower Oil, Coriander, Salt, Coriander, Fennel Seeds",12,10,20,30,2,Indian,Lunch,Vegetarian
Oatmeal Cherry Cookies Recipe,"All Purpose Flour, Instant Oats, Baking Powder, Salt, Butter, Caster Sugar, Curd, Vanilla Extract, Canned Cherries",9,20,60,80,6,Continental,Snack,Vegetarian
Oatmeal Banana Mini Muffins Recipe,"All Purpose Flour, Instant Oats, Baking Powder, Baking Soda, Cinnamon Powder, Salt, Sugar, Butter, Sunflower Oil, Whole Eggs, Milk, Vanilla Extract, Ripe Bananas",13,15,15,30,24,Continental,Dessert,Eggetarian
Chocolate Lover's Cheesecake Recipe,"Bourbon Biscuits, Chocolate Wafers Bournvita Biscuits, Caster Sugar, Butter  Melted, Dark Chocolate, Heavy Whipping Cream, Dark Chocolate Chips, Fresh Cherries, Cocoa Powder, Icing Sugar",10,20,25,45,6,Continental,Dessert,Vegetarian
Batata nu Shaak Recipe - Aloo Tamatar Ki Sabzi,"Potato, Sunflower Oil, Kalonji, Ginger, Onion, Cinnamon Stick, Bay Leaf, Tomato, Turmeric Powder, Red Chilli Powder, Garam Masala Powder, Coriander Powder, Salt",13,10,10,20,4,Gujarati Recipes﻿,Lunch,Vegetarian
Red Wine Sauce Over Baked Sol Fish Recipe,"Lb Fish Fillet, Garlic, Tablespoons Onion, Tablespoon Butter, Salt, Garlic, Black Pepper Powder, Salt, Cup Water, Cup Red Wine, Sprig Fresh Thyme Leaves, Black Pepper Powder, Tablespoons All Purpose Flour, Salt",14,20,20,40,2,Continental,Dinner,High Protein Non Vegetarian
Lemongrass Flavored Tofu Fried Rice Recipe,"Basmati Rice, Coconut Milk, Stalks Lemon Grass, Ginger, Turmeric Powder, Salt, Garlic, Ginger, Onion, Red Bell Pepper, Green Chilli, Spring Onion Greens, Soy Sauce, Green Chilli Sauce, Black Pepper Powder, Salt, Sunflower Oil",17,10,30,40,4,Asian,Lunch,Vegetarian
Bhel Puri With Raw Mango Recipe,"Puffed Rice, Onion, Tomato, Mango, Coriander, Raw Peanuts, Yellow Moong Dal, Lahsun Ki Chutney, Green Chutney, Sweet Chutney, Salt",11,15,0,15,2,North Indian Recipes,Snack,Vegetarian
Broccoli Pakora Masala Recipe - Broccoli In Spicy Yogurt Gravy,"Broccoli, Onion, Rice Flour, Gram Flour, Baking Soda, Lemon Juice, Turmeric Powder, Red Chilli Powder, Garam Masala Powder, Water, Salt, Curd, Water, Gram Flour, Mustard Seeds, Cumin Seeds, Asafoetida, Sunflower Oil, Turmeric Powder, Red Chilli Powder, Coriander Powder, Salt",22,10,20,30,4,North Indian Recipes,Lunch,Vegetarian
Long Brinjal Poriyal Masala Recipe - Green Baingan Sabzi,"Long Green Brinjal, Tomato, Coriander, Curry Leaves, Sambar Powder, Turmeric Powder, Red Chilli Powder, Salt, Sunflower Oil",9,10,20,30,4,South Indian Recipes,Lunch,Vegetarian
Menthi Vankaya Recipe - Andhra Style Fenugreek Spiced Baingan,"Small Brinjal, Tamarind Paste, Water, Salt, Sunflower Oil, White Urad Dal, Curry Leaves, Coriander, Chana Dal, White Urad Dal, Sesame Seeds, Cumin Seeds, Methi Seeds, Dry Red Chilli, Raw Peanuts",15,10,10,20,2,Andhra,Lunch,Vegetarian
Baale Dindu Kadale Palya - Banana Stem Curry With Chickpeas Recipe,"Banana Stem, Kala Chana, Fresh Coconut, Cumin Seeds, Coriander, Red Chilli Powder, Onion, Clove Garlic, Curry Leaves, Salt, Sunflower Oil, Coriander, Green Chilli, Lemon Juice",14,25,40,65,4,Coastal Karnataka,Lunch,Vegetarian
Gujarati Lasaniya Batata Recipe - Garlic Potato Curry,"Baby Potato, Garlic, Sunflower Oil, Cumin Seeds, Gram Flour, Coriander Powder, Garam Masala Powder, Red Chilli Powder, Turmeric Powder, Curd, Salt, Coriander",12,20,25,45,2,Gujarati Recipes﻿,Side Dish,Vegetarian
Healthy Lauki Kofta Curry Recipe | Non Fried Bottle Gourd Kofta Curry | Dhoodi Kofta,"Bottle Gourd, Gram Flour, Red Chilli Powder, Coriander, Turmeric Powder, Garam Masala Powder, Salt, Sunflower Oil, Garlic, Ginger, Green Chilli, Onion, Cinnamon Stick, Bay Leaf, Brown Cardamom, Stone Flower, Tomato, Turmeric Powder, Coriander Powder, Red Chilli Powder, Garam Masala Powder, Honey, Coriander, Salt, Ghee",25,20,40,60,6,North Indian Recipes,Dinner,Vegetarian
Corn And Peas Curry Recipe,"Corn Cob, Salt, Water, Cumin Seeds, Coriander Seeds, Dry Red Chilies, Oil, Bud Garlic, Ginger, Onion, Coconut, Oil, Rye, Curry Leaves, Tomato Puree, Salt, Turmeric Powder, Garam Masala Powder, Kashmiri Red Chilli Powder, Green Peas",20,15,40,55,4,Indian,Main Course,Vegetarian
Tomato Basil Chicken Curry Recipe,"Chicken Breasts, Carrot, Onion, Garlic, Homemade Tomato Puree, Basil Leaves, Rosemary, Dried Thyme Leaves, Paprika Powder, Cumin Powder, Sugar, Salt, Extra Virgin Olive Oil",13,5,30,35,4,Continental,One Pot Dish,Non Vegeterian
Kerala Style Eggplant Curry ,"Brinjals, Mustard, Onion, Green Chilli, Turmeric Powder, Coriander Powder, Fennel Cumin, Fenugreek Seeds, Tomato, Coconut Milk, Coconut Oil, Curry Leaves, Coriander",13,15,35,50,4,Kerala Recipes,Lunch,Vegetarian
Grilled Chicken Wings Recipe,"Chicken Wings, Garlic, Sweet And Spicy Red Chilli Sauce, Homemade Tomato Puree, Red Chilli Flakes, Rosemary, Honey, Lemon Juice, Sunflower Oil, Salt",10,10,60,70,4,Continental,Appetizer,Non Vegeterian
Veechu Parotta Or Ceylon Parotta Recipe,"All Purpose Flour, Whole Wheat Flour, Curd, Salt, Sunflower Oil",5,30,25,55,4,Sri Lankan,Side Dish,Vegetarian
Mawa Gujiya With Badam and Pista Recipe,"All Purpose Flour, Sooji, Sugar, Baking Soda, Ghee, Water, Saffron Strands, Milk Soak Saffron, Khoya, Dessicated Coconut, Badam, Pistachios, Sugar, Milk Egg As A Wash For The Pastry, Badam, Sugar, Water, Saffron Strands",18,45,15,60,20,North Indian Recipes,Snack,Vegetarian
Chettinad Rasam Powder Recipe,"Dry Red Chilli, Coriander, Arhar Dal, Cumin Seeds, Whole Black Peppercorns, Methi Seeds, Sesame",7,5,30,35,100,Chettinad,South Indian Breakfast,High Protein Vegetarian
Paneer Stuffed Bhindi In Ajwain Tomato Gravy Recipe,"Bhindi, Paneer, Red Chilli Powder, Coriander Powder, Chaat Masala Powder, Salt, Onion, Ginger, Garlic, Ajwain, Green Chilli, Red Chilli Powder, Coriander Powder, Turmeric Powder, Garam Masala Powder, Homemade Tomato Puree, Kasuri Methi, Sunflower Oil, Salt",19,15,20,35,4,North Indian Recipes,Lunch,Vegetarian
Asian Style Stuffed Omelette Recipe,"Whole Eggs, Spring Onion Greens, Salt And Pepper, Ginger, Garlic, Baby Corn, Red Bell Pepper, Green Bell Peppers, Soy Sauce, Green Chilli Sauce, Chilli Vinegar",11,10,20,30,4,Asian,World Breakfast,Eggetarian
Aluchi Bhaji Recipe - Maharashtrian Style Colocasia Leaves Curry,"Colocasia Leaves, Raw Peanuts, Chana Dal, Sunflower Oil, Cumin Seeds, Mustard Seeds, Asafoetida, Dry Coconut, Amchur, Turmeric Powder, Jaggery, Green Chilli, Salt",13,10,20,30,4,Maharashtrian Recipes,Lunch,High Protein Vegetarian
Amritsari Fish Fry Recipe,"Seer Fish, Turmeric Powder, Red Chilli Powder, Amchur, Garam Masala Powder, Ajwain, Ginger Garlic Paste, Kasuri Methi, Gram Flour, Lemon Juice, Salt, Nutralite Classic Spread",12,60,15,75,2,Punjabi,Side Dish,High Protein Non Vegetarian
Chickpea Sundal Recipe,"Kala Chana, Sunflower Oil, Mustard Seeds, Green Chilli, Ginger, Asafoetida, Fresh Coconut, Coriander, Salt",9,20,20,40,5,South Indian Recipes,Snack,High Protein Vegetarian
Thai Coconut Curry Soup Recipe,"Poppy Seeds, Sesame Seeds, Cashew Nuts, Cumin Seeds, Coconut Milk, Vegetable Stock, Ginger, Garlic, Green Chilli, Onion, Stalk Lemon Grass, Kaffir Lime Leaves, Bay Leaves, Coconut Oil, Salt, Sugar, Coriander, Wheat Noodles Rice Noodles Boiled, Raisins",19,20,30,50,3,Thai,Appetizer,Vegetarian
Inji Thogayal Recipe - Spicy & Delicious Ginger Chutney,"Ginger, Green Chilli, Methi Seeds, White Urad Dal, Dry Red Chilli, Tamarind, Garlic, Jaggery, Salt, Sesame, Mustard Seeds, White Urad Dal, Asafoetida",13,5,15,20,4,South Indian Recipes,Side Dish,Vegetarian
Diwali Cornflakes Mixture Recipe - A Savory Evening Tea Snack,"Corn Flakes, Poha, Boondi, Curry Leaves, Badam, Cashew Nuts, Raisins, Raw Peanuts, Salt, Caster Sugar, Kashmiri Red Chilli Powder, Asafoetida, Sunflower Oil",13,15,30,45,4,Indian,Snack,Vegetarian
Kaju Pakoda Recipe (Cashew Nut Fritters),"Cashew Nuts, Gram Flour, Rice Flour, Red Chilli Powder, Ginger Garlic Paste, Mint Leaves, Fennel Seeds, Sunflower Oil, Salt",9,10,20,30,2,Indian,Snack,Vegetarian
South Indian Grilled Fish With Spicy Fusion Sauce Recipe,"Fish, Ginger, Curd, Red Mustard Seeds, Tamarind Paste, Dry Red Chilli, Green Chilli, Fresh Coconut, Coconut Oil Sunflower Oil, Sunflower Oil, Mustard Seeds, Chana Dal, Curry Leaves, Black Salt, Salt",15,70,30,100,2,South Indian Recipes,Dinner,High Protein Non Vegetarian
Methi Moong Dal Palak Recipe,"Yellow Moong Dal, Methi Leaves, Asafoetida, Cumin Seeds, Onion, Tomato, Coriander Powder, Turmeric Powder, Red Chilli Powder, Salt, Sunflower Oil",11,30,15,45,4,North Indian Recipes,Lunch,High Protein Vegetarian
Sindhi Style Chicken Curry Recipe Using Preethi Electric Pressure Cooker,"Chicken, Black Cardamom, Bay Leaf, Cinnamon Stick, Cardamom, Cloves, Onion, Green Chilli, Ginger, Garlic, Tomato, Curd, Turmeric Powder, Red Chilli Powder, Coriander, Garam Masala Powder, Coriander Powder, Salt, Coriander, Sunflower Oil",20,10,60,70,4,Sindhi,Dinner,Non Vegeterian
Indian Style Jeera Biscuit Recipe,"All Purpose Flour, Baking Powder, Salt, Butter, Cumin Seeds, Lukewarm Water",6,20,30,50,4,Continental,Snack,Vegetarian
Pudina Moong Dal Recipe (Mint Moong Dal),"Yellow Moong Dal, Red Chilli Powder, Turmeric Powder, Cumin Seeds, Asafoetida, Ghee, Mint Leaves, Water, Salt",9,10,25,35,2,North Indian Recipes,Lunch,High Protein Vegetarian
Shrimp Spinach Cheese Swirl Recipe,"Puff Pastry Sheet, Whole Egg, Cup Spinach, Cup Shrimps, Spring Onion, Tablespoon Cayenne Pepper, Coriander Powder, Garlic Powder, Tablespoon Tomato Ketchup, Sriracha Sauce, Tablespoon Sunflower Oil, Cup Cheddar Cheese, Salt",13,60,15,75,10,Indian,Appetizer,Non Vegeterian
Matar Poha Recipe (Flattened Rice Stir Fry with Green Peas),"Poha, Green Peas, Onion, Green Chilli, Turmeric Powder, Mustard Seeds, Cumin Seeds, Curry Leaves, Asafoetida, Salt, Coriander, Lemon Juice",12,15,10,25,4,North Indian Recipes,North Indian Breakfast,Vegetarian
Udupi Style Thondekayi And Badnekayi Sambar Recipe - Ivy Gourd & Brinjal Sambar,"Tindora, Brinjal, Carrot, Arhar Dal, Udupi Sambar Powder, Tamarind Water, Jaggery, Turmeric Powder, Salt, Mustard Seeds, White Urad Dal, Dry Red Chilli, Curry Leaves, Sunflower Oil",14,10,30,40,4,Udupi,Lunch,Vegetarian
Kumaon Style Thechwani Recipe-Mooli Aloo Sabzi,"Potato, Mooli Mullangi, Onion, Tomato, Green Chilli, Dry Red Chilli, Cumin Seeds, Methi Seeds, Cardamom, Turmeric Powder, Cumin Powder, Coriander Powder, Red Chilli Powder, Salt, Green Chilli, Garlic, Ginger",17,10,25,35,4,Uttarakhand-North Kumaon,Main Course,Vegetarian
Chicken Ranch Wraps Recipe,"Tortillas, Chicken Breasts, Dried Oregano, Onion, Red Chilli Flakes, Cherry Tomato, Cucumber, Tablespoon Black Pepper Powder, Cup Cheese, Lettuce Leaves, Ranch Sauce, Salt",12,20,20,40,4,Continental,Snack,Non Vegeterian
Arbi Ka Achaar Recipe (Instant Colocasia pickle),"Colocasia Root, Ajwain, Cumin Seeds, Methi Seeds, Kalonji, Methi Powder, Mustard Powder, Red Chilli Powder, Turmeric Powder, Asafoetida, Vinegar, Mustard Oil, Salt",13,15,20,35,4,North Indian Recipes,Side Dish,Vegetarian
Olive & Tofu In Harissa Curry Recipe,"Extra Virgin Olive Oil, Garlic, Onion, Cumin Powder, Harissa Paste, Homemade Tomato Puree, Salt, Honey, Water, Black Pepper Powder, Black Olives, Tofu",12,10,20,30,4,Continental,Main Course,High Protein Vegetarian
Chiroti Recipe - Delicious Crispy Layered Sweet Puri,"All Purpose Flour, Ghee, Water, Sugar, Water, Cardamom Powder, Ghee, Rice Flour, All Purpose Flour, Badam, Pistachios, Cashew Nuts",12,15,30,45,4,Indian,Dessert,Vegetarian
Paneer Malai Makhani Biryani Recipe,"Basmati Rice, Ghee, Ginger Garlic Paste, Onion, Biryani Masala, Lemon Juice, Salt, Paneer, Turmeric Powder, Red Chilli Powder, Homemade Tomato Puree, Hung Curd, Lemon Juice, Ginger Garlic Paste, Sunflower Oil, Salt",16,30,40,70,4,Indian,Dinner,High Protein Vegetarian
Raw Mango Carrot Cucumber Salad Recipe With Peanuts,"Mango, Carrot, Cucumber, Tomato, Roasted Peanuts, Coriander, Mint Leaves, Salt, Black Pepper Powder, Chaat Masala Powder, Cumin Powder",11,15,0,15,4,Indian,Appetizer,Vegan
Dried Cranberry & White Chocolate Chip Biscotti Recipe,"All Purpose Flour, Baking Powder, Butter, Caster Sugar, Whole Eggs, Vanilla Extract, Cranberries, White Chocolate",8,20,60,80,4,Continental,Snack,Vegetarian
Andhra Style Sorakaya Kura Recipe - Bottle Gourd And Toor Dal Recipe,"Bottle Gourd, Arhar Dal, Mustard Seeds, Curry Leaves, Asafoetida, Cumin Seeds, Tomato, Green Chilli, Black Pepper Powder, Turmeric Powder, Red Chilli Powder",11,10,25,35,4,Andhra,Lunch,Vegetarian
Delhi Style Matar Chaat Recipe - Spicy & Tangy Green Peas Chaat,"Dried Green Peas, Ginger, Red Chilli Powder, Tomato, Cumin Powder, Amchur, Turmeric Powder, Fennel Seeds, Cinnamon Stick, Bay Leaves, Salt, Lemon, Onion, Ginger, Green Chilli, Coriander, Coriander",17,500,45,545,4,North Indian Recipes,Snack,Vegetarian
Kongunadu Style Senai Kilangu Masala Recipe - Yam in Spicy Gravy,"Elephant Yam, Turmeric Powder, Mustard Seeds, Curry Leaves, Salt, Sunflower Oil, Cinnamon Stick, Garlic, Ginger, Poppy Seeds, Coconut Oil, Dry Red Chilli, Curry Leaves",13,10,30,40,4,Tamil Nadu,Side Dish,Vegetarian
No Onion No Garlic Aloo Gajar Ki Sabzi Recipe,"Potato, Carrots, Sunflower Oil, Cumin Seeds, Ginger, Green Chilli, Turmeric Powder, Red Chilli Powder, Coriander Powder, Lemon Juice, Salt Kala Namak, Coriander",12,10,30,40,4,Indian,Lunch,Vegetarian
Konkani Style Karate Batate Puddi Sagle Recipe - Bitter Gourd & Potato Curry,"Karela, Potato, Mustard Seeds, Fresh Coconut, Coriander, White Urad Dal, Dry Red Chilli, Methi Seeds, Tamarind Water, Salt",10,10,30,40,4,Konkan,Dinner,Vegetarian
Olya Kaju Chi Amti Recipe - Malvani Cashew Nut Curry,"Cashew Nuts, Arhar Dal, Masoor Dal, Salt, Turmeric Powder, Ghee, Mustard Seeds, Cumin Seeds, Asafoetida, Dry Red Chilli, Jaggery, Fresh Coconut, Cumin Seeds, Dry Red Chilli, Garlic",15,10,30,40,4,Malvani,Main Course,Vegetarian
Chettinad Mint Potato Biryani Recipe,"Basmati Rice, Onion, Tomato, Garlic, Ginger, Green Chilli, Potato, Paneer, Curd, Garam Masala Powder, Biryani Masala Powder, Coriander Powder, Red Chilli Powder, Salt, Sunflower Oil, Cinnamon Stick, Cloves, Cardamom, Bay Leaf, Onion, Mint Leaves, Fennel Seeds",22,10,25,35,4,Chettinad,Dinner,High Protein Vegetarian
Puffed Lotus Seed Pakoras Recipe - Makhana Pakora,"Phool Makhana, Gram Flour, Onion, Green Chilli, Cumin Seeds, Red Chilli Powder, Turmeric Powder, Salt, Coriander, Curry Leaves",10,10,30,40,4,Indian,Snack,Vegetarian
Thengai Paal Kurma Recipe - Mixed Vegetables In Coconut Gravy,"Potato, Green Peas, Cauliflower, Onion, Green Chilli, Cinnamon Stick, Cardamom, Cloves, Bay Leaf, Ghee, Coconut Milk, Salt",12,15,35,50,4,Chettinad,Dinner,Vegetarian
Kala Chana Pilaf Recipe,"Basmati Rice, Kala Chana, Onion, Tomato, Green Chilli, Ginger Garlic Paste, Bay Leaf, Cinnamon Stick, Black Cardamom, Cloves, Cumin Seeds, Red Chilli Powder, Garam Masala Powder, Fennel Powder, Curd, Water Leftover Water Of Cooked Chana, Ghee, Mint Leaves, Sugar, Salt",20,15,25,40,4,Pakistani,Main Course,Vegetarian
Drumstick Leaves Fried Rice Recipe,"Rice, Carrots, Green Bell Pepper, Drumstick Leaves, Green Chilli Sauce, Soy Sauce, Tomato Ketchup, Salt, Sunflower Oil",9,25,10,35,4,Indian,Lunch,Vegan
Meen Varuthathu Recipe - Kerala Style Fish Fry,"Fish Fillet, Ginger Garlic Paste, Red Chilli Powder, Turmeric Powder, Black Pepper Powder, Lemon, Salt, Coconut Oil, Curry Leaves",9,50,15,65,2,Kerala Recipes,Appetizer,Non Vegeterian
Meetha Daliya With Milk & Fruits Recipe - Broken Wheat Porridge,"Broken Wheat, Water, Milk, Fennel Seeds, Sugar Drizzle With Honey, Fresh Fruits, Mixed Nuts",7,5,10,15,4,Indian,Indian Breakfast,Vegetarian
Whole Wheat Naan Recipe,"Whole Wheat Flour, Active Dry Yeast, Lukewarm Water, Sugar, Curd, Salt",6,140,30,170,4,North Indian Recipes,Dinner,Diabetic Friendly
Amritsari Murgh Makhani Recipe- Chicken Makhani Recipe,"Red Chilli Powder, Turmeric Powder, Homemade Tomato Puree, Fresh Cream, Cashew Nuts, Coriander, Salt, Sunflower Oil, Coriander, Cumin Seeds, Cinnamon Stick, Cloves, Bay Leaf, Cardamom, Black Cardamom, Whole Black Peppercorns, Dry Ginger Powder, Nutmeg Powder, Chicken Breasts, Turmeric Powder, Curd, Lemon Juice, Onion, Green Chilli, Ginger, Garlic",26,10,45,55,4,North Indian Recipes,Dinner,Non Vegeterian
Thai Lemongrass Rice Recipe,"Jasmine Rice, Stalk Lemon Grass, Cardamom",3,10,60,70,4,Thai,Lunch,Vegetarian
Semolina Vegetable Chilla Recipe,"Sooji, Whole Wheat Flour, Water, Onion, Tomato, Curd, Carrot, Raw Papaya, Cabbage, Green Bell Pepper, Green Chilli, Coriander, Black Pepper Powder, Salt, Extra Virgin Olive Oil",15,15,30,45,2,Indian,Indian Breakfast,Vegetarian
How To Make Homemade Kashmiri Masala/ Spice Mix Recipe,"Cumin Seeds, Cardamom, Coriander, Whole Black Peppercorns, Fennel Seeds, Cinnamon Stick, Cloves, Bay Leaves, Nutmeg, Whole Turmeric, Garlic Powder, Dry Ginger Powder, Kashmiri Red Chilli Powder",13,15,30,45,2,Indian,Indian Breakfast,Vegetarian
Pumpkin Coconut Ladoo Recipe,"Kaddu, Dessicated Coconut, Cane Sugar, Nutmeg Powder, Cardamom Powder, Ghee",6,5,10,15,4,Indian,Dessert,Vegetarian
Raw Banana Tikkis Recipe,"Raw Banana, Onion, Green Chilli, Ginger, Coriander Powder, Cumin Seeds, Clove Powder, Cinnamon Powder, Cardamom Powder, Gram Flour, Amchur, Lemon Juice, Ghee, Dates, Whole Cashews, Ginger, Green Chilli",17,15,30,45,4,Indian,Snack,Vegetarian
Katachi Amti Recipe (Spicy Accompaniment To Maharashtrian Puran Poli),"Dal Stock, Water, Cloves, Whole Black Peppercorns, Mustard Seeds, Cumin Seeds, Bay Leaf, Curry Leaves, Jaggery, Tamarind Paste, Maharashtrian Goda Masala, Sunflower Oil, Coriander, Salt",14,10,15,25,4,Maharashtrian Recipes,Lunch,Vegetarian
Maharashtrian Vegetable Amboli Recipe (Savory Lentil Pancake Topped With Vegetables),"Brown Rice  Soaked In Water For  Hours, White Urad Dal, Methi Seeds, Red Poha, Sunflower Oil Ghee For Cooking, Salt, Red Bell Pepper, Del Monte Whole Corn Kernels, Coriander, Cajun Spice Mix Chutney Podi For Sprinkling On Top",10,360,20,380,6,Maharashtrian Recipes,Indian Breakfast,Vegetarian
Amrood Raita Recipe,"Guava, Curd, Salt, Rye, Urad Dal, Curry Leaves, Red Chili, Asafetida, Oil",9,15,0,15,4,Indian,Side Dish,Vegetarian
Achari Aloo ,"आलू, छोटा चमच्च हींग, छोटा चमच्च जीरा, सुखी लाल मिर्च, बड़े चमच्च अचार, बड़े चमच्च सिरका, छोटा चमच्च शक्कर, तेल",8,15,15,30,4,North Indian Recipes,Dinner,Vegetarian
Goan Style Kulkuls Recipe (Honey glazed wheat Curls Recipe),"Whole Wheat Flour, All Purpose Flour, Sooji, Caster Sugar, Sunflower Oil, Salt, Whole Egg, Coconut Milk, Sunflower Oil",9,15,45,60,4,Goan Recipes,Snack,Eggetarian
Pumpkin Cheesecake Recipe,"Graham Cracker Crumbs, Butter, Fl Oz Britannia Cream Cheese, Whole Eggs, Vanilla Extract, Sugar, Pumpkin Puree, Butter, Vivatta Maida, Brown Sugar, Cinnamon Powder",11,60,90,150,12,Continental,Dessert,Eggetarian
Tofu Fried Rice Recipe,"Basmati Rice, Tofu, Bay Leaf, Cinnamon Powder, Onion, Spring Onion, Spring Onion Greens, Red Yellowgreen Bell Pepper, Carrot, Button Mushrooms, Garlic, Ginger Garlic Paste, Green Chilli Sauce, Soy Sauce, Sunflower Oil, Salt",16,20,60,80,3,Chinese,Lunch,Vegetarian
Stuffed Strawberries Recipe With Grated Paneer,"Strawberries, Cup Paneer, Tablespoons Condensed Milk, Saffron Strands",4,5,8,13,2,Fusion,Appetizer,Vegetarian
Mango Phirni Recipe - Mango Rice Pudding Recipe,"Mango, Milk, Rice, Sugar, Pistachios, Badam, Cardamom Powder, Saffron Strands",8,10,45,55,4,North Indian Recipes,Dessert,Vegetarian
